Epiweek_start,I1sum,I1new,I2sum,I2new
2023/3/26,13,13,306,306
2023/4/2,33,20,635,329
2023/4/9,67,34,995,360
2023/4/16,120,53,1405,410
2023/4/23,164,44,1755,350
2023/4/30,207,43,2000,245
2023/5/7,233,26,2180,180
2023/5/14,268,35,2324,144
2023/5/21,313,45,2400,76
2023/5/28,354,41,2440,40
2023/6/4,401,47,2481,41
2023/6/11,449,48,2521,40
2023/6/18,482,33,2561,40
2023/6/25,512,30,2601,40
2023/7/2,552,40,2615,14
2023/7/9,594,42,2633,18
2023/7/16,628,34,2644,11
2023/7/23,660,32,2677,33
2023/7/30,685,25,2700,23
2023/8/6,718,33,2710,10
2023/8/13,773,55,2732,22
2023/8/20,855,82,2761,29
2023/8/27,946,91,2785,24
2023/9/3,1035,89,2795,19
2023/9/10,1186,151,2838,43
2023/9/17,1300,114,2908,70
2023/9/24,1435,135,2980,72
2023/10/1,1560,125,3034,54
2023/10/8,1653,93,3076,42
2023/10/15,1726,73,3111,35
2023/10/22,1797,71,3128,17
2023/10/29,1861,64,3144,16
2023/11/5,1904,43,3176,32
2023/11/12,1930,26,3205,29
2023/11/19,1965,35,3229,24
2023/11/26,1979,14,3260,31
2023/12/3,1989,10,3275,15
2023/12/10,2009,20,3289,14
2023/12/17,2016,7,3294,5
2023/12/24,2022,6,3305,11
2023/12/31,2026,4,3323,18
2024/1/7,2029,3,3330,7
