Epiweek_start,I1sum,I1new,I2sum,I2new
2023/3/26,6,6,79,79
2023/4/2,17,11,167,88
2023/4/9,42,25,282,115
2023/4/16,72,30,441,159
2023/4/23,101,29,556,115
2023/4/30,128,27,632,76
2023/5/7,142,14,699,67
2023/5/14,152,10,737,38
2023/5/21,170,18,755,18
2023/5/28,177,7,760,5
2023/6/4,190,13,772,12
2023/6/11,199,9,781,9
2023/6/18,204,5,796,15
2023/6/25,213,9,812,16
2023/7/2,230,17,819,7
2023/7/9,244,14,822,3
2023/7/16,256,12,825,3
2023/7/23,265,9,833,8
2023/7/30,280,15,836,3
2023/8/6,290,10,837,1
2023/8/13,305,15,843,6
2023/8/20,323,18,849,6
2023/8/27,345,22,856,7
2023/9/3,376,31,870,14
2023/9/10,425,49,897,27
2023/9/17,452,27,928,31
2023/9/24,499,47,963,35
2023/10/1,547,48,981,18
2023/10/8,581,34,993,12
2023/10/15,603,22,1000,7
2023/10/22,619,16,1004,4
2023/10/29,631,12,1007,3
2023/11/5,632,19,1017,10
2023/11/12,642,10,1030,13
2023/11/19,654,12,1043,13
2023/11/26,658,4,1059,16
2023/12/3,661,3,1065,6
2023/12/10,666,5,1067,2
2023/12/17,669,3,1067,0
2023/12/24,669,0,1069,2
2023/12/31,672,3,1071,2
2024/1/7,675,3,1071,0
