Epiweek_start,I1sum,I1new,I2sum,I2new
2023/3/26,2,2,43,43
2023/4/2,2,0,55,12
2023/4/9,4,2,97,42
2023/4/16,11,7,159,62
2023/4/23,15,4,222,63
2023/4/30,20,5,261,39
2023/5/7,26,6,287,26
2023/5/14,35,9,313,26
2023/5/21,41,6,339,26
2023/5/28,47,6,354,15
2023/6/4,52,5,361,7
2023/6/11,62,10,367,6
2023/6/18,63,1,376,9
2023/6/25,65,2,383,7
2023/7/2,67,2,386,3
2023/7/9,71,4,387,1
2023/7/16,76,5,388,1
2023/7/23,82,6,390,2
2023/7/30,84,2,393,3
2023/8/6,93,9,397,4
2023/8/13,105,12,399,2
2023/8/20,129,24,414,15
2023/8/27,160,31,424,10
2023/9/3,182,22,425,1
2023/9/10,217,35,429,4
2023/9/17,242,25,436,7
2023/9/24,272,30,456,20
2023/10/1,297,25,473,17
2023/10/8,329,32,481,8
2023/10/15,351,22,489,8
2023/10/22,367,16,484,5
2023/10/29,377,10,499,5
2023/11/5,388,11,510,11
2023/11/12,399,11,513,3
2023/11/19,411,12,515,2
2023/11/26,417,6,516,1
2023/12/3,421,4,522,6
2023/12/10,424,3,526,4
2023/12/17,425,1,530,4
2023/12/24,427,2,532,2
2023/12/31,428,1,544,12
2024/1/7,428,0,550,6
