Epiweek_start,I1sum,I1new,I2sum,I2new
2023/3/26,1,1,13,13
2023/4/2,3,2,54,41
2023/4/9,3,0,70,16
2023/4/16,3,0,107,37
2023/4/23,3,0,140,33
2023/4/30,3,0,173,33
2023/5/7,4,1,194,21
2023/5/14,10,6,208,14
2023/5/21,11,1,212,4
2023/5/28,14,3,214,2
2023/6/4,16,2,216,2
2023/6/11,19,3,219,3
2023/6/18,20,1,221,2
2023/6/25,20,0,221,0
2023/7/2,20,0,221,0
2023/7/9,23,3,221,0
2023/7/16,25,2,222,1
2023/7/23,27,2,222,0
2023/7/30,28,1,223,1
2023/8/6,28,0,223,0
2023/8/13,29,1,223,0
2023/8/20,33,4,223,0
2023/8/27,37,3,223,0
2023/9/3,39,2,224,1
2023/9/10,41,2,224,0
2023/9/17,48,7,224,0
2023/9/24,50,2,224,0
2023/10/1,54,4,224,0
2023/10/8,54,0,224,0
2023/10/15,57,3,224,0
2023/10/22,71,14,224,0
2023/10/29,76,5,226,2
2023/11/5,81,5,228,2
2023/11/12,82,1,229,1
2023/11/19,85,3,229,0
2023/11/26,88,3,233,4
2023/12/3,88,0,234,1
2023/12/10,88,0,236,2
2023/12/17,88,0,237,1
2023/12/24,88,0,238,1
2023/12/31,88,0,238,0
2024/1/7,88,0,238,0
