Epiweek_start,I1sum,I1new,I2sum,I2new
2023/3/26,1,1,80,80
2023/4/2,6,5,166,86
2023/4/9,10,4,261,95
2023/4/16,25,15,338,77
2023/4/23,32,7,420,82
2023/4/30,36,4,471,51
2023/5/7,38,2,502,31
2023/5/14,44,6,553,51
2023/5/21,53,9,560,7
2023/5/28,65,12,568,8
2023/6/4,87,22,578,10
2023/6/11,103,16,585,7
2023/6/18,120,17,589,4
2023/6/25,131,11,596,7
2023/7/2,148,17,597,1
2023/7/9,162,14,606,9
2023/7/16,166,4,610,4
2023/7/23,171,5,629,19
2023/7/30,174,3,643,14
2023/8/6,180,6,646,3
2023/8/13,199,19,650,4
2023/8/20,227,28,650,0
2023/8/27,250,23,654,4
2023/9/3,270,20,656,2
2023/9/10,306,36,663,7
2023/9/17,343,37,672,9
2023/9/24,384,41,677,5
2023/10/1,417,33,687,10
2023/10/8,432,15,696,9
2023/10/15,452,20,701,5
2023/10/22,467,15,701,0
2023/10/29,498,31,703,2
2023/11/5,502,4,705,2
2023/11/12,502,0,712,7
2023/11/19,503,1,714,2
2023/11/26,503,0,720,6
2023/12/3,504,1,721,1
2023/12/10,505,1,724,3
2023/12/17,506,1,724,0
2023/12/24,507,1,727,3
2023/12/31,507,0,729,2
2024/1/7,507,0,730,1
